consecutive_number,Clock points,No Damage,Top,Undercarriage,Unknown
10001,5,0,1,0,0
10002,12,0,1,1,0
10003,1,0,0,0,0
10004,5,0,0,0,0
10005,1,0,0,0,0
10006,1,0,1,0,0
10007,1,0,0,0,0
10008,1,0,0,0,0
10009,2,0,0,0,0
10010,1,0,1,0,0
10011,5,0,1,2,0
10012,2,0,0,0,0
10013,1,0,0,0,0
10014,2,0,0,0,0
10015,2,0,0,0,0
10016,1,0,0,0,0
10017,1,0,1,0,0
10018,1,0,0,0,0
10019,2,0,1,0,0
10020,4,0,1,0,0
10021,4,0,1,1,0
10022,3,0,0,0,0
10023,2,0,0,0,0
10024,1,0,0,0,0
10025,2,0,0,0,0
10026,11,0,1,0,0
10027,2,0,0,0,0
10028,1,0,0,0,0
10029,2,0,0,0,0
10030,1,0,0,0,0
10031,4,0,0,0,0
10032,2,0,0,0,0
10033,4,0,0,0,0
10034,4,0,0,0,0
10035,3,0,0,0,0
10036,2,0,1,0,0
10037,6,0,0,0,0
10038,2,0,0,0,0
10039,1,0,0,0,0
10040,3,0,0,0,0
10041,10,0,0,0,0
10042,2,0,0,0,0
10043,1,0,0,0,0
10044,1,0,0,0,0
10045,1,0,1,0,0
10046,1,0,0,0,0
10047,2,0,0,0,0
10048,8,0,1,0,0
10049,2,0,0,0,0
10050,2,0,0,0,0
10051,7,0,0,0,0
10052,3,0,0,0,0
10053,2,0,1,0,0
10054,2,0,0,0,0
10055,4,0,0,2,0
10056,1,0,1,0,0
10057,2,0,0,0,0
10058,1,0,1,0,0
10059,8,0,0,0,0
10060,2,0,0,0,0
10061,8,0,0,1,0
10062,8,0,0,1,0
10063,6,0,0,0,0
10064,24,0,1,0,0
10065,2,0,0,0,0
10066,1,0,0,0,0
10067,1,0,0,0,0
10068,1,0,1,0,0
10069,12,0,1,1,0
10070,1,0,0,0,0
10071,12,0,1,1,0
10072,1,0,1,0,0
10073,1,0,1,0,0
10074,2,0,1,0,0
10075,1,0,0,0,0
10076,9,0,0,0,0
10077,2,0,0,0,0
10078,1,0,1,0,0
10079,1,0,0,0,0
10080,1,0,0,0,0
10081,2,0,0,0,0
10082,2,0,0,0,0
10083,0,1,0,0,0
10084,1,0,0,0,0
10085,1,0,0,0,0
10086,18,0,0,0,0
10087,1,0,0,0,0
10088,2,0,0,0,0
10089,1,0,0,0,0
10090,2,0,1,0,0
10091,3,0,0,0,0
10092,3,0,0,1,0
10093,2,0,0,0,0
10094,3,0,0,0,0
10095,1,0,0,0,0
10096,2,0,0,0,0
10097,1,0,1,0,0
10098,9,0,0,0,0
10099,1,0,0,0,0
10101,5,0,0,0,0
10102,1,0,0,0,0
10103,1,0,1,0,0
10104,1,0,1,0,0
10105,1,0,0,0,0
10106,1,0,1,0,0
10107,1,0,1,0,0
10108,10,0,0,1,0
10109,2,0,0,0,0
10110,1,0,0,0,0
10111,2,0,0,0,0
10112,5,0,0,0,0
10113,2,0,1,0,0
10114,1,0,0,0,0
10115,2,0,0,0,0
10116,7,0,1,0,0
10117,3,0,0,0,0
10118,1,0,0,0,0
10119,2,0,0,0,0
10120,6,0,1,0,0
10121,2,0,0,0,0
10122,1,0,0,1,0
10123,12,0,1,1,0
10124,7,0,1,0,0
10125,1,0,1,0,0
10126,1,0,0,0,0
10127,7,0,0,0,0
10128,1,0,1,0,0
10129,1,0,1,0,0
10130,1,0,1,0,0
10131,12,0,1,1,0
10132,1,0,0,0,0
10133,1,0,1,0,0
10134,18,0,1,1,0
10135,0,0,1,1,0
10136,1,0,0,0,0
10137,1,0,0,0,0
10138,8,0,0,1,0
10139,1,0,0,0,0
10140,1,0,1,0,0
10141,1,0,0,0,0
10142,1,0,1,0,0
10143,11,0,0,0,0
10144,10,0,0,0,0
10145,3,0,0,0,0
10146,3,0,0,0,0
10147,2,0,1,0,0
10148,7,0,0,0,0
10149,1,0,1,0,0
10150,7,0,0,0,0
10151,3,0,0,1,0
10152,4,0,1,0,0
10153,1,0,0,0,0
10154,1,0,0,0,0
10155,2,0,1,0,0
10156,1,0,0,0,0
10157,1,0,0,0,0
10158,1,0,0,0,0
10159,2,0,0,0,0
10160,3,0,0,0,0
10161,2,0,0,0,0
10162,1,0,1,0,0
10163,1,0,0,0,0
10164,2,0,0,0,0
10165,1,0,1,0,0
10166,1,0,0,0,0
10167,2,0,0,0,0
10168,4,0,0,0,0
10169,12,0,1,1,0
10170,1,0,1,0,0
10171,3,0,0,0,0
10172,4,0,0,0,0
10173,1,0,0,0,0
10174,2,0,1,0,0
10175,1,0,0,0,0
10176,3,0,0,0,0
10177,1,0,0,0,0
10178,12,0,1,1,0
10179,5,0,0,1,0
10180,1,0,0,0,0
10181,1,0,1,0,0
10182,1,0,1,0,0
10183,1,0,0,0,0
10184,3,0,1,0,0
10185,2,0,0,0,0
10186,2,0,0,0,0
10187,12,0,1,1,0
10188,4,0,0,0,0
10189,7,0,0,0,0
10190,4,0,0,0,0
10191,2,0,0,0,0
10192,2,0,0,0,0
10193,11,0,0,0,0
10194,3,0,0,0,0
10195,4,0,0,0,0
10196,2,0,0,1,0
10197,7,0,0,0,0
10198,1,0,0,0,0
10199,2,0,1,0,0
10200,12,0,1,1,0
10201,2,0,0,0,0
10202,1,0,1,0,0
10203,6,0,0,0,0
10204,1,0,1,0,0
10205,3,0,0,0,0
10206,2,0,0,0,0
10207,2,0,1,0,0
10208,1,0,1,0,0
10209,3,0,0,0,0
10210,2,0,1,0,0
10211,7,0,0,0,0
10212,2,0,0,0,0
10213,1,0,1,0,0
10214,5,0,1,0,0
10215,4,0,0,0,0
