,state_number,consecutive_number,vehicle_number,driver_distracted_by,driver_distracted_by_name
0,33,330102,5,0,Not Distracted
1,56,560014,9,0,Not Distracted
2,56,560014,8,0,Not Distracted
3,56,560014,7,0,Not Distracted
4,56,560014,6,0,Not Distracted
5,56,560014,5,0,Not Distracted
6,56,560070,5,0,Not Distracted
7,44,440044,5,0,Not Distracted
8,10,100079,5,0,Not Distracted
9,2,20012,5,0,Not Distracted
10,23,230025,5,0,Not Distracted
11,1,10264,5,0,Not Distracted
12,1,10918,5,0,Not Distracted
13,1,10845,5,0,Not Distracted
14,1,10878,5,0,Not Distracted
15,1,10762,6,0,Not Distracted
16,1,10762,5,0,Not Distracted
17,4,40744,7,0,Not Distracted
18,4,40744,5,0,Not Distracted
19,4,40340,6,0,Not Distracted
20,4,40340,5,0,Not Distracted
21,4,40547,5,0,Not Distracted
22,4,40542,7,0,Not Distracted
23,4,40542,6,0,Not Distracted
24,4,40542,5,0,Not Distracted
25,4,40530,7,0,Not Distracted
26,4,40530,6,0,Not Distracted
27,4,40530,5,0,Not Distracted
28,4,40396,7,0,Not Distracted
29,4,40396,6,0,Not Distracted
30,4,40396,5,0,Not Distracted
31,4,40385,8,0,Not Distracted
32,4,40385,7,0,Not Distracted
33,4,40385,6,0,Not Distracted
34,4,40385,5,0,Not Distracted
35,5,50457,6,0,Not Distracted
36,5,50457,5,0,Not Distracted
37,5,50501,5,0,Not Distracted
38,5,50156,5,0,Not Distracted
39,5,50116,5,0,Not Distracted
40,6,63410,5,0,Not Distracted
41,6,63407,7,0,Not Distracted
42,6,63407,6,0,Not Distracted
43,6,63407,5,0,Not Distracted
44,6,63356,5,0,Not Distracted
45,6,63347,5,0,Not Distracted
46,6,63345,5,0,Not Distracted
47,6,62580,6,0,Not Distracted
48,6,62580,5,0,Not Distracted
49,6,62703,5,0,Not Distracted
50,6,62335,5,0,Not Distracted
51,6,62848,6,0,Not Distracted
52,6,62848,5,0,Not Distracted
53,6,62883,5,0,Not Distracted
54,6,62930,5,0,Not Distracted
55,6,62884,5,0,Not Distracted
56,6,62951,5,0,Not Distracted
57,6,62930,6,0,Not Distracted
58,6,61580,5,0,Not Distracted
59,6,61716,6,0,Not Distracted
60,6,61716,5,0,Not Distracted
61,6,61655,5,0,Not Distracted
62,6,61281,7,0,Not Distracted
63,6,61281,6,0,Not Distracted
64,6,61281,5,0,Not Distracted
65,6,61318,5,0,Not Distracted
66,6,61222,6,0,Not Distracted
67,6,61222,5,0,Not Distracted
68,6,61216,5,0,Not Distracted
69,6,61410,5,0,Not Distracted
70,6,62131,6,0,Not Distracted
71,6,62131,5,0,Not Distracted
72,6,61969,5,0,Not Distracted
73,6,60310,5,0,Not Distracted
74,6,60199,6,0,Not Distracted
75,6,60199,5,0,Not Distracted
76,6,61193,5,0,Not Distracted
77,6,60713,5,0,Not Distracted
78,8,80171,5,0,Not Distracted
79,8,80305,5,0,Not Distracted
80,8,80300,5,0,Not Distracted
81,8,80046,5,0,Not Distracted
82,8,80462,5,0,Not Distracted
83,8,80352,6,0,Not Distracted
84,8,80352,5,0,Not Distracted
85,8,80552,5,0,Not Distracted
86,9,90214,5,0,Not Distracted
87,9,90249,6,0,Not Distracted
88,9,90249,5,0,Not Distracted
89,9,90170,5,0,Not Distracted
90,9,90001,5,0,Not Distracted
91,12,121337,7,0,Not Distracted
92,12,121337,6,0,Not Distracted
93,12,121337,5,0,Not Distracted
94,12,121492,5,0,Not Distracted
95,12,121095,7,0,Not Distracted
96,12,121095,6,0,Not Distracted
97,12,121095,5,0,Not Distracted
98,12,121066,5,0,Not Distracted
99,12,121228,5,0,Not Distracted
100,12,121246,5,0,Not Distracted
101,12,121151,5,0,Not Distracted
102,12,121556,5,0,Not Distracted
103,12,122038,6,0,Not Distracted
104,12,122038,5,0,Not Distracted
105,12,120300,6,0,Not Distracted
106,12,120300,5,0,Not Distracted
107,12,120021,5,0,Not Distracted
108,12,120815,11,0,Not Distracted
109,12,120815,9,0,Not Distracted
110,12,120815,8,0,Not Distracted
111,12,120815,7,0,Not Distracted
112,12,120815,6,0,Not Distracted
113,12,120815,5,0,Not Distracted
114,12,120924,5,0,Not Distracted
115,12,120715,5,0,Not Distracted
116,12,122392,6,0,Not Distracted
117,12,122392,5,0,Not Distracted
118,12,122392,7,0,Not Distracted
119,12,122375,5,0,Not Distracted
120,12,122392,10,0,Not Distracted
121,12,122392,9,0,Not Distracted
122,12,122392,8,0,Not Distracted
123,12,122356,5,0,Not Distracted
124,12,123062,8,0,Not Distracted
125,12,123062,7,0,Not Distracted
126,12,123062,6,0,Not Distracted
127,12,123062,5,0,Not Distracted
128,12,123040,6,0,Not Distracted
129,12,123040,5,0,Not Distracted
130,12,122644,5,0,Not Distracted
131,13,130398,5,0,Not Distracted
132,13,130386,6,0,Not Distracted
133,13,130386,5,0,Not Distracted
134,13,130033,5,0,Not Distracted
135,13,130687,5,0,Not Distracted
136,13,130678,5,0,Not Distracted
137,13,130719,5,0,Not Distracted
138,13,130447,5,0,Not Distracted
139,13,130904,5,0,Not Distracted
140,13,130858,7,0,Not Distracted
141,13,130858,6,0,Not Distracted
142,13,130858,5,0,Not Distracted
143,17,170890,5,0,Not Distracted
144,17,170890,6,0,Not Distracted
145,17,170590,6,0,Not Distracted
146,17,170590,5,0,Not Distracted
147,17,170650,5,0,Not Distracted
148,17,170468,5,0,Not Distracted
149,17,170549,6,0,Not Distracted
150,17,170549,5,0,Not Distracted
151,17,170545,5,0,Not Distracted
152,17,170485,5,0,Not Distracted
153,18,180610,5,0,Not Distracted
154,18,180723,7,0,Not Distracted
155,18,180723,6,0,Not Distracted
156,18,180723,5,0,Not Distracted
157,18,180675,5,0,Not Distracted
158,18,180508,6,0,Not Distracted
159,18,180508,5,0,Not Distracted
160,18,180782,5,0,Not Distracted
161,18,180379,5,0,Not Distracted
162,21,210262,5,0,Not Distracted
163,21,210262,6,0,Not Distracted
164,21,210253,5,0,Not Distracted
165,21,210119,5,0,Not Distracted
166,21,210673,5,0,Not Distracted
167,21,210673,7,0,Not Distracted
168,21,210673,9,0,Not Distracted
169,21,210673,8,0,Not Distracted
170,21,210585,5,0,Not Distracted
171,22,220478,7,0,Not Distracted
172,22,220478,6,0,Not Distracted
173,22,220478,5,0,Not Distracted
174,22,220515,5,0,Not Distracted
175,22,220008,5,0,Not Distracted
176,22,220209,5,0,Not Distracted
177,22,220171,8,0,Not Distracted
178,22,220171,7,0,Not Distracted
179,22,220171,6,0,Not Distracted
180,22,220171,5,0,Not Distracted
181,24,240044,7,0,Not Distracted
182,24,240044,9,0,Not Distracted
183,24,240044,8,0,Not Distracted
184,24,240044,6,0,Not Distracted
185,24,240044,5,0,Not Distracted
186,24,240461,5,0,Not Distracted
187,24,240195,7,0,Not Distracted
188,24,240195,6,0,Not Distracted
189,24,240195,5,0,Not Distracted
190,24,240304,7,0,Not Distracted
191,24,240304,6,0,Not Distracted
192,24,240304,5,0,Not Distracted
193,26,260815,5,0,Not Distracted
194,27,270069,5,0,Not Distracted
195,27,270204,5,0,Not Distracted
196,27,270193,5,0,Not Distracted
197,27,270149,5,0,Not Distracted
198,31,310141,5,0,Not Distracted
199,31,310158,6,0,Not Distracted
200,31,310158,5,0,Not Distracted
201,31,310107,5,0,Not Distracted
202,32,320097,5,0,Not Distracted
203,32,320026,5,0,Not Distracted
204,32,320057,5,0,Not Distracted
205,34,340245,5,0,Not Distracted
206,34,340392,5,0,Not Distracted
207,34,340432,6,0,Not Distracted
208,34,340432,5,0,Not Distracted
209,34,340341,5,0,Not Distracted
210,34,340188,6,0,Not Distracted
211,34,340188,5,0,Not Distracted
212,34,340577,8,0,Not Distracted
213,36,360749,5,0,Not Distracted
214,36,360965,5,0,Not Distracted
215,36,360371,9,0,Not Distracted
216,36,360371,8,0,Not Distracted
217,36,360371,7,0,Not Distracted
218,36,360371,6,0,Not Distracted
219,36,360371,5,0,Not Distracted
220,36,360486,6,0,Not Distracted
221,36,360486,5,0,Not Distracted
222,37,370801,5,0,Not Distracted
223,37,370911,6,0,Not Distracted
224,37,370911,5,0,Not Distracted
225,37,370016,5,0,Not Distracted
226,39,390724,5,0,Not Distracted
227,39,390681,5,0,Not Distracted
228,39,390515,5,0,Not Distracted
229,39,390619,10,0,Not Distracted
230,39,390619,9,0,Not Distracted
231,39,390619,8,0,Not Distracted
232,39,390619,7,0,Not Distracted
233,39,390619,6,0,Not Distracted
234,39,391046,5,0,Not Distracted
235,39,390328,5,0,Not Distracted
236,40,400630,6,0,Not Distracted
237,40,400630,5,0,Not Distracted
238,42,420703,5,0,Not Distracted
239,42,420506,5,0,Not Distracted
240,42,420999,6,0,Not Distracted
241,42,420999,5,0,Not Distracted
242,42,420928,5,0,Not Distracted
243,42,421026,8,0,Not Distracted
244,42,421026,7,0,Not Distracted
245,42,421026,6,0,Not Distracted
246,42,421026,5,0,Not Distracted
247,42,420912,20,0,Not Distracted
248,42,420912,35,0,Not Distracted
249,42,420912,34,0,Not Distracted
250,42,420912,33,0,Not Distracted
251,42,420912,32,0,Not Distracted
252,42,420912,31,0,Not Distracted
253,42,420912,30,0,Not Distracted
254,42,420912,29,0,Not Distracted
255,42,420912,28,0,Not Distracted
256,42,420912,27,0,Not Distracted
257,42,420912,26,0,Not Distracted
258,42,420912,25,0,Not Distracted
259,42,420912,24,0,Not Distracted
260,42,420912,23,0,Not Distracted
261,42,420912,22,0,Not Distracted
262,42,420912,21,0,Not Distracted
263,42,420912,36,0,Not Distracted
264,42,420912,19,0,Not Distracted
265,42,420912,18,0,Not Distracted
266,42,420912,17,0,Not Distracted
267,42,420912,16,0,Not Distracted
268,42,420912,15,0,Not Distracted
269,42,420912,14,0,Not Distracted
270,42,420912,13,0,Not Distracted
271,42,420912,12,0,Not Distracted
272,42,420912,11,0,Not Distracted
273,42,420912,10,0,Not Distracted
274,42,420912,9,0,Not Distracted
275,42,420912,8,0,Not Distracted
276,42,420912,7,0,Not Distracted
277,42,420912,6,0,Not Distracted
278,42,420912,5,0,Not Distracted
279,42,420912,52,0,Not Distracted
280,42,420912,64,0,Not Distracted
281,42,420912,63,0,Not Distracted
282,42,420912,62,0,Not Distracted
283,42,420912,61,0,Not Distracted
284,42,420912,60,0,Not Distracted
285,42,420912,59,0,Not Distracted
286,42,420912,58,0,Not Distracted
287,42,420912,57,0,Not Distracted
288,42,420912,56,0,Not Distracted
289,42,420912,55,0,Not Distracted
290,42,420912,54,0,Not Distracted
291,42,420912,53,0,Not Distracted
292,42,420912,51,0,Not Distracted
293,42,420912,50,0,Not Distracted
294,42,420912,49,0,Not Distracted
